Student_ID,Student_Name,Class_Group,Handphone_Number
25032,Ali Faisal,25S02X,81567812
25064,Amy Lim,25S02X,81567834
25018,Anh Tran,25S02X,81249023
25023,Boon Kai Sheng,25S02X,81156782
25092,Chen Wei Li,25S02X,81237912
25065,Dylan Koh,25S02X,81457890
25033,Indira Devi,25S02X,81578945
25022,Kim Choon Yee,25S02X,81349012
25041,Kumar Suresh,25S02X,81567890
25039,Lee Xue Ying,25S02X,81438912
25054,Lydia Tan,25S02X,81345678
25087,Mohammad Rizwan,25S02X,81567890
25079,Natasha Lim,25S02X,81237901
25031,Nguyen Hoang,25S02X,81234567
25014,Nguyen Thi Mai,25S02X,81456712
25058,Philippe de la Cruz,25S02X,81456789
25088,Prakash Ravi,25S02X,81438978
25067,Rina Ong,25S02X,81457812
25049,Sara Tay,25S02X,81459089
25025,Sim Wen Jie,25S02X,81267890
25050,Siti Nurhaliza,25S02X,81438901
25021,Tan Yu Wei,25S02X,81246789
25024,Tanisha Pillai,25S02X,81467890
25082,Tay Mingxuan Cory,25S02X,81150985
25096,Yu Hao Ming,25S02X,81457834
25076,Aaron Loh,25S02Y,82361212
25089,Arun Kumar,25S02Y,81234512
25073,Boon Kai Jie,25S02Y,81239078
25099,Chai Ying Xuan,25S02Y,81567889
25093,Cheryl Teo,25S02Y,81459012
25061,Chutima Nopparat,25S02Y,81467890
25095,Joshua Ong,25S02Y,81236789
25053,Kwan Li Mei,25S02Y,81578923
25063,Lim Wei Xiang,25S02Y,81239012
25037,Lisa Lim,25S02Y,81238901
25047,Liu Ying,25S02Y,81458901
25068,Nguyen Van Binh,25S02Y,81247823
25057,Nishant Kumar,25S02Y,81237945
25056,Pierre Gonzales,25S02Y,81459023
25055,Pravin Nair,25S02Y,81567812
25027,Rahul Reddy,25S02Y,81578901
25044,Rajesh Varma,25S02Y,81247891
25042,Siti Aisyah,25S02Y,81234890
25071,Sophia Nguyen,25S02Y,81456789
25084,Sri Rani,25S02Y,81238912
25036,Sukanya Prasad,25S02Y,81346789
25097,Thida Saravuth,25S02Y,81438967
25085,Tran Minh Quang,25S02Y,81578901
25030,Vivian Tan,25S02Y,81247812
25081,Zhang Wei,25S02Y,81457890
