Student_ID,First_Name,Last_Name,Address1,Address2,District,Zip_Code,Telephone,Birth_Date,Course_Code,Tutor_Code
11Y05132,Julie,Andrews,14 Acacia Avenue,Hilltop,Tawara,4305,545231544,12/8/1993,EC-AB-4,CTY
13A00261,Annie,Rennie,21 Eaves Hall,Central,Appleton,4314,555123489,1/1/1992,LA-IL-3,CTY
33A05447,Tracy,Royle,6 Eaves Hall,Central,Appleton,4314,555123489,12/3/1993,EN-MC-1,VPA
34P01083,Summer,Kacaratchi,14 Eaves Hall,Central,Appleton,4314,555123489,22/1/1993,EC-FB-4,LBR
35V04147,Karoline,Strauss,38 Eaves Hall,Central,Appleton,4314,555123489,9/3/1993,CO-CY-2,SCO
36T04790,Sandra,Cooper,9 Eaves Hall,Central,Appleton,4314,555123489,11/2/1993,AR-AA-2,FJO
37V05103,Stuart,Davies,20 Eaves Hall,Central,Appleton,4314,555123489,14/1/1993,HI-AC-4,BMO
38Y00915,Jens,Maloi,7 Eaves Hall,Central,Appleton,4314,555123489,30/5/1993,AR-GC-3,SKA
39P00090,Claire,Turner,37 Eaves Hall,Central,Appleton,4314,555123489,28/6/1993,EC-DP-2,CTY
40X03763,Karla,Maier,17 Eaves Hall,Central,Appleton,4314,555123489,24/5/1993,AR-AA-3,CMO
41F04870,Amy,Nichols,40 Eaves Hall,Central,Appleton,4314,555123489,14/2/1993,AG-AG-1,CNO
42A09200,Antonio,Rangel,28 Eaves Hall,Central,Appleton,4314,555123489,13/7/1993,HI-HH-3,TMI
43K05732,Dietmar,Strauss,40 Eaves Hall,Central,Appleton,4314,555123489,22/2/1993,FR-FM-3,CNO
44V06392,Graham,White,1 Eaves Hall,Central,Appleton,4314,555123489,4/3/1985,HI-HA-1,YLO
112P05295,Kratika,Gupta,12 Eaves Hall,Central,Appleton,4314,555123489,24/7/1993,EN-EO-2,XYU
132T05424,Didier,Watson,34 Eaves Hall,Central,Appleton,4314,555123489,26/6/1993,AR-AA-2,PHO
133A05967,Olga,Schneider,4 Eaves Hall,Central,Appleton,4314,555123489,17/7/1993,HI-HB-1,XYU
134X00364,Peter,Perfection,1 Eaves Hall,Central,Appleton,4314,555123489,9/8/1993,GE-PG-4,YLO
135X01441,Tomas,Jacobs,40 Eaves Hall,Central,Appleton,4314,555123489,18/7/1993,CO-CY-2,PHO
136F05362,Elliot,Cotterill,34 Eaves Hall,Central,Appleton,4314,555123489,30/6/1993,AR-AS-2,CCI
137A01759,Siddharth,Gad,14 Eaves Hall,Central,Appleton,4314,555123489,2/8/1993,HI-AC-4,LBR
138Y03126,Holly,Chase,12 Eaves Hall,Central,Appleton,4314,555123489,30/6/1993,AR-GC-3,HSC
139P02384,Peter,Kelly,35 Eaves Hall,Central,Appleton,4314,555123489,23/2/1993,HI-HA-3,AMA
140K03239,Pat,Pushing,25 Eaves Hall,Central,Appleton,4314,555123489,4/5/1993,HI-MJ-2,CCI
141Y00092,Louis,Claes,22 Eaves Hall,Central,Appleton,4314,555123489,23/4/1993,CO-ID-4,PHO
142T04900,Kratika,Dhiman,42 Barn Hall Avenue,Dunes,Appleton,4314,555875634,22/3/1993,MA-MP-4,AVI
143V03151,Lydia,Blenkinsop,17 Seaview Road,Coastal,Appleton,4314,555871124,11/3/1993,FR-FS-1,LAL
12X07177,Fatima,Hegde,1 White Knights,,Dunescroft,4303,555124436,19/5/1993,LA-LA-2,BMO
59P00794,Friederike,Trommler,10 White Knights,,Dunescroft,4303,555127640,12/3/1987,CO-IB-3,BMO
60K04652,Friedhelm,Beyer,11 White Knights,,Dunescroft,4303,555121034,29/6/1962,HI-AC-4,CTY
61F02741,Evert,Bayer,7 White Knights,,Dunescroft,4303,555122955,18/3/1993,AR-GC-3,LBR
62T02818,Pilar,Pagan,12 White Knights,,Dunescroft,4303,555121396,12/2/1993,MA-MS-2,SCO
63A09613,Nikos,Nicolaides,8 White Knights,,Dunescroft,4303,555127210,27/2/1993,EN-MC-1,CNO
64Y07794,Suzanne,Miller,13 White Knights,,Dunescroft,4303,555129880,29/6/1993,HI-AC-4,YLO
65P04861,Toni,Fernandez,15 White Knights,,Dunescroft,4303,555128416,21/2/1993,AR-GC-3,BMO
66F04539,Jeremy,Pinoir,17 White Knights,,Dunescroft,4303,555124260,11/7/1993,CO-EF-3,VPA
67F06024,Pablo,Garrido,18 White Knights,,Dunescroft,4303,555124778,24/3/1993,HI-MJ-2,FJO
68F03780,Holly,Jenkinson,19 White Knights,,Dunescroft,4303,555124293,8/1/1993,IT-IE-1,TMI
69F06480,Eugenio,Lopez,21 White Knights,,Dunescroft,4303,555126450,10/4/1993,HI-HB-1,CMO
70A04190,Dawid,Jones,22 White Knights,,Dunescroft,4303,555128123,2/7/1984,LA-IF-2,CMO
71A04328,Oral,Strauss,25 White Knights,,Dunescroft,4303,555129371,2/3/1993,CO-DS-3,BMO
72F05992,Gunther,Schmitt,30 White Knights,,Dunescroft,4303,555123745,11/5/1993,CO-EF-3,FJO
111Y06205,Gerhardt,Weissmuller,3 White Knights,,Dunescroft,4303,555124466,12/6/1993,GE-GE-1,ATS
158Y05279,Karl,Roth,31 White Knights,,Dunescroft,4303,555127686,16/2/1993,CO-PN-1,VPA
159K03271,Maria,Schiffer,32 White Knights,,Dunescroft,4303,555127830,29/3/1993,EC-BN-1,YLO
160A03175,Jim,Roberts,36 White Knights,,Dunescroft,4303,555126517,10/5/1993,AR-AA-3,CMO
161P01315,Michael,Royle,42 White Knights,,Dunescroft,4303,555121087,6/5/1993,EN-EL-4,VPA
162K09219,Victor,Castro,37 White Knights,,Dunescroft,4303,555124580,1/2/1993,HI-MS-4,LAL
